AWB No,Order Ref,Courier Partner,Booking Date,Delivery Status,Delivery Date,Origin Pin,Dest Pin,Zone,Payment Mode,Consignee Name,Consignee Contact,Declared Wt (Kg),Charged Wt (Kg),Charge Head,Freight Amt,COD Amt Collected,COD Charge,Net Amount,Remarks
BSHP007100001,#1001,DTDC,21-Jul-26,Delivered,26/07/2026,400001,122001,B,PREPAID,Priya Sample,9000035252,0.500,0.500,FREIGHT,45.00,0.00,0.00,45.00,
BSHP007100021,#1002,Xpressbees,23-Jul-26,Delivered,26/07/2026,122001,700001,D,PREPAID,Neha Dummy,9000054504,0.250,1.000,FREIGHT,91.00,0.00,0.00,91.00,
BSHP007100029,#1003,Xpressbees,02-Jul-26,Delivered,07/07/2026,400001,208001,B,COD,Neha Dummy,9000098792,1.000,1.000,FREIGHT,63.00,438.00,40.00,103.00,
BSHP007100043,#1004,Xpressbees,05-Jul-26,Delivered,08/07/2026,110001,560001,E,PREPAID,Rohit Synthetic,9000060243,1.000,1.000,FREIGHT,112.00,0.00,0.00,112.00,
BSHP007100060,#1005,Delhivery,19/07/2026,Delivered,21-Jul-26,302001,201301,E,PREPAID,Karan Fixture,9000016385,1.000,1.000,FREIGHT,112.00,0.00,0.00,112.00,
BSHP007100067,#1006,DTDC,15/07/2026,Delivered,20/07/2026,380001,700001,B,COD,Karan Fixture,9000033413,1.000,1.000,FREIGHT,63.00,942.00,40.00,103.00,
BSHP007100079,#1007,Delhivery,06/07/2026,Delivered,09-Jul-26,302001,208001,C,PREPAID,Neha Dummy,9000090269,0.250,0.750,FREIGHT,77.00,0.00,0.00,77.00,
BSHP007100095,#1008,Xpressbees,23/07/2026,Delivered,25/07/2026,226001,122001,B,COD,Anita Faux,9000083418,0.500,0.500,FREIGHT,45.00,"1,902.00",40.00,85.00 ,
BSHP007100106,,Ecom Express,20/07/2026,Delivered,25/07/2026,226001,560001,A,COD,Neha Dummy,9000059227,1.500,1.500,FREIGHT,63.00,504.00,40.00,103.00,
BSHP007100106,,Ecom Express,20/07/2026,Delivered,25/07/2026,226001,560001,A,COD,Neha Dummy,9000059227,1.500,1.500,FREIGHT,63.00,504.00,40.00,103.00,
BSHP007100126,#1010,Delhivery,10-Jul-26,Delivered,15/07/2026,122001,110001,A,COD,Anita Faux,9000067666,0.500,1.000,FREIGHT,49.00,709.00,40.00,89.00,
BSHP007100134,#1011,DTDC,09/07/2026,Delivered,13-Jul-26,560001,208001,E,PREPAID,Ravi Test,9000095866,1.500,1.500,FREIGHT,144.00,0.00,0.00,144.00,
BSHP007100147,#1012,Ecom Express,23/07/2026,Delivered,27/07/2026,400001,560001,B,COD,Rohit Synthetic,9000035795,1.000,1.500,FREIGHT,81.00,"2,075.00",40.00,121.00,
BSHP007100162,#1013,Ecom Express,13-Jul-26,Delivered,16/07/2026,110001,302001,C,PREPAID,Neha Dummy,9000086118,1.500,1.500,FREIGHT,99.00,0.00,0.00,99.00,Zone reclass — refer annexure
BSHP007100173,#1014,Xpressbees,25/07/2026,Delivered,28/07/2026,400001,122001,E,COD,Rohit Synthetic,9000074181,1.500,1.500,FREIGHT,144.00,746.00,40.00,184.00,
BSHP007100183,#1015,Xpressbees,05/07/2026,Delivered,08/07/2026,302001,400001,E,COD,Anita Faux,9000044000,1.500,1.500,FREIGHT,144.00,"1,705.00",40.00,184.00,
BSHP007100195,#1016,DTDC,24/07/2026,Delivered,26/07/2026,110001,380001,B,COD,Ravi Test,9000049166,0.500,0.750,FREIGHT,63.00,"1,965.00",40.00,103.00,
BSHP007100209,#1017,DTDC,04-Jul-26,Delivered,07/07/2026,380001,400001,D,COD,Amit Placeholder,9000094415,0.250,0.250,FREIGHT,65.00,"1,091.00",40.00,105.00,
BSHP007100230,#1018,Xpressbees,10-Jul-26,Delivered,13/07/2026,400001,302001,B,COD,Ravi Test,9000030420,1.500,1.500,FREIGHT,81.00,"1,713.00",40.00,121.00,
BSHP007100235,#1019,Delhivery,04/07/2026,Delivered,07/07/2026,122001,122001,C,COD,Rohit Synthetic,9000020170,1.000,1.000,FREIGHT,77.00,511.00,40.00,117.00,
BSHP007100250,#1020,Xpressbees,01/07/2026,Delivered,06/07/2026,400001,201301,A,COD,Priya Sample,9000076371,0.500,0.500,FREIGHT,35.00,890.00,40.00,75.00,
BSHP007100263,#1021,Ecom Express,18-Jul-26,Delivered,22/07/2026,560001,400001,B,COD,Divya Mock,9000019163,0.500,0.500,FREIGHT,45.00,"1,292.00",40.00,85.00,
BSHP007100273,#1022,DTDC,11-Jul-26,Delivered,15/07/2026,400001,201301,C,COD,Divya Mock,9000018263,0.500,0.500,FREIGHT,55.00,"1,045.00",40.00,95.00,
BSHP007100286,#1023,Delhivery,02/07/2026,Delivered,07-Jul-26,122001,208001,C,COD,Amit Placeholder,9000065351,0.750,0.750,FREIGHT,77.00,"2,089.00",40.00,117.00,
BSHP007100302,#1024,Ecom Express,19-Jul-26,Delivered,23/07/2026,110001,208001,A,COD,Rohit Synthetic,9000058641,1.500,1.500,FREIGHT,63.00,"2,142.00",40.00,103.00,
BSHP007100315,#1025,Xpressbees,10-Jul-26,Delivered,15/07/2026,302001,400001,D,PREPAID,Ravi Test,9000087317,1.500,1.500,FREIGHT,117.00,0.00,0.00,117.00,
BSHP007100332,#1026,Xpressbees,10/07/2026,RTO Delivered,15-Jul-26,560001,560001,E,PREPAID,Anita Faux,9000073039,1.000,1.250,FREIGHT,144.00,0.00,0.00,144.00,
BSHP007100340,#1027,Delhivery,24/07/2026,Delivered,28-Jul-26,700001,122001,E,COD,Amit Placeholder,9000095287,0.500,0.500,FREIGHT,80.00,"2,138.00",40.00,120.00,
BSHP007100352,#1028,Ecom Express,17/07/2026,Delivered,20/07/2026,226001,560001,D,COD,Priya Sample,9000041883,1.000,1.000,FREIGHT,91.00,653.00,40.00,131.00,
BSHP007100371,#1029,Delhivery,06-Jul-26,Delivered,10/07/2026,122001,700001,E,COD,Priya Sample,9000083156,0.250,0.250,FREIGHT,80.00,442.00,40.00,120.00,
BSHP007100384,#1030,Ecom Express,16-Jul-26,Delivered,18/07/2026,201301,302001,D,COD,Priya Sample,9000040161,0.500,0.500,FREIGHT,65.00,710.00,40.00,105.00,

AWB No,Order Ref,Courier Partner,Booking Date,Delivery Status,Delivery Date,Origin Pin,Dest Pin,Zone,Payment Mode,Consignee Name,Consignee Contact,Declared Wt (Kg),Charged Wt (Kg),Charge Head,Freight Amt,COD Amt Collected,COD Charge,Net Amount,Remarks
BSHP007100390,#1031,Xpressbees,18/07/2026,Delivered,20/07/2026,380001,700001,D,PREPAID,Anita Faux,9000019532,0.250,0.250,FREIGHT,65.00,0.00,0.00,65.00,
BSHP007100411,#1032,Xpressbees,21-Jul-26,RTO Delivered,25/07/2026,226001,560001,D,PREPAID,Ravi Test,9000057215,0.500,0.500,FREIGHT,65.00,0.00,0.00,65.00,
