Name,Created at,Financial Status,Fulfillment Status,Total,Shipping Method,Email,Phone,Shipping Zip
#1001,2026-07-21 11:42:00 +0530,paid,fulfilled,543.00,Standard,buyer1001@example.invalid,9000063801,122001
#1002,2026-07-23 11:29:00 +0530,paid,fulfilled,"1,138.00",Standard,buyer1002@example.invalid,9000015192,700001
#1003,2026-07-02 11:47:00 +0530,pending,fulfilled,438.00,COD,buyer1003@example.invalid,9000039199,208001
#1004,2026-07-05 11:49:00 +0530,paid,fulfilled,"1,851.00",Standard,buyer1004@example.invalid,9000030858,560001
#1005,2026-07-19 11:11:00 +0530,paid,fulfilled,699.00,Standard,buyer1005@example.invalid,9000086733,201301
#1006,2026-07-15 11:27:00 +0530,pending,fulfilled,942.00,COD,buyer1006@example.invalid,9000093472,700001
#1007,2026-07-06 11:22:00 +0530,paid,fulfilled,"2,385.00",Standard,buyer1007@example.invalid,9000064874,208001
#1008,2026-07-23 11:42:00 +0530,pending,fulfilled,"1,902.00",COD,buyer1008@example.invalid,9000011434,122001
#1009,2026-07-20 11:41:00 +0530,pending,fulfilled,504.00,COD,buyer1009@example.invalid,9000019178,560001
#1010,2026-07-10 11:24:00 +0530,pending,fulfilled,709.00,COD,buyer1010@example.invalid,9000040622,110001
#1011,2026-07-09 11:33:00 +0530,paid,fulfilled,"1,283.00",Standard,buyer1011@example.invalid,9000047523,208001
#1012,2026-07-23 11:13:00 +0530,pending,fulfilled,"2,075.00",COD,buyer1012@example.invalid,9000086852,560001
#1013,2026-07-13 11:30:00 +0530,paid,fulfilled,"2,009.00",Standard,buyer1013@example.invalid,9000024500,302001
#1014,2026-07-25 11:23:00 +0530,pending,fulfilled,746.00,COD,buyer1014@example.invalid,9000026694,122001
#1015,2026-07-05 11:41:00 +0530,pending,fulfilled,"1,705.00",COD,buyer1015@example.invalid,9000029752,400001
#1016,2026-07-24 11:56:00 +0530,pending,fulfilled,"1,965.00",COD,buyer1016@example.invalid,9000092695,380001
#1017,2026-07-04 11:26:00 +0530,pending,fulfilled,"1,091.00",COD,buyer1017@example.invalid,9000036340,400001
#1018,2026-07-10 11:27:00 +0530,pending,fulfilled,"1,713.00",COD,buyer1018@example.invalid,9000040437,302001
#1019,2026-07-04 11:50:00 +0530,pending,fulfilled,511.00,COD,buyer1019@example.invalid,9000068209,122001
#1020,2026-07-01 11:54:00 +0530,pending,fulfilled,890.00,COD,buyer1020@example.invalid,9000040420,201301
#1021,2026-07-18 11:33:00 +0530,pending,fulfilled,"1,292.00",COD,buyer1021@example.invalid,9000058901,400001
#1022,2026-07-11 11:24:00 +0530,pending,fulfilled,"1,045.00",COD,buyer1022@example.invalid,9000043007,201301
#1023,2026-07-02 11:52:00 +0530,pending,fulfilled,"2,089.00",COD,buyer1023@example.invalid,9000023337,208001
#1024,2026-07-19 11:20:00 +0530,pending,fulfilled,"2,142.00",COD,buyer1024@example.invalid,9000060181,208001
#1025,2026-07-10 11:35:00 +0530,paid,fulfilled,"2,298.00",Standard,buyer1025@example.invalid,9000023173,400001
#1026,2026-07-10 11:11:00 +0530,paid,fulfilled,"1,942.00",Standard,buyer1026@example.invalid,9000087701,560001
#1027,2026-07-24 11:10:00 +0530,pending,fulfilled,"2,138.00",COD,buyer1027@example.invalid,9000040153,122001
#1028,2026-07-17 11:33:00 +0530,pending,fulfilled,653.00,COD,buyer1028@example.invalid,9000029419,560001
#1029,2026-07-06 11:25:00 +0530,pending,fulfilled,442.00,COD,buyer1029@example.invalid,9000065672,700001
#1030,2026-07-16 11:41:00 +0530,pending,fulfilled,710.00,COD,buyer1030@example.invalid,9000073061,302001
#1031,2026-07-18 11:20:00 +0530,paid,fulfilled,540.00,Standard,buyer1031@example.invalid,9000039942,700001
#1032,2026-07-21 11:45:00 +0530,paid,fulfilled,586.00,Standard,buyer1032@example.invalid,9000024830,560001
#1033,2026-07-12 11:49:00 +0530,pending,fulfilled,"1,504.00",COD,buyer1033@example.invalid,9000044943,201301
#1034,2026-07-07 11:56:00 +0530,pending,fulfilled,"1,332.00",COD,buyer1034@example.invalid,9000043982,110001
#1035,2026-07-08 11:55:00 +0530,pending,fulfilled,"1,015.00",COD,buyer1035@example.invalid,9000010121,110001
#1036,2026-07-21 11:13:00 +0530,pending,fulfilled,"1,619.00",COD,buyer1036@example.invalid,9000047084,110001
#1037,2026-07-09 11:25:00 +0530,paid,fulfilled,"2,126.00",Standard,buyer1037@example.invalid,9000085700,700001
#1038,2026-07-11 11:55:00 +0530,pending,fulfilled,"1,182.00",COD,buyer1038@example.invalid,9000049542,201301
#1039,2026-07-05 11:19:00 +0530,pending,fulfilled,"1,229.00",COD,buyer1039@example.invalid,9000098026,226001
#1040,2026-07-22 11:29:00 +0530,pending,fulfilled,737.00,COD,buyer1040@example.invalid,9000047946,208001
#1041,2026-07-05 11:39:00 +0530,paid,fulfilled,844.00,Standard,buyer1041@example.invalid,9000026746,560001
#1042,2026-07-15 11:26:00 +0530,pending,fulfilled,"1,829.00",COD,buyer1042@example.invalid,9000037040,560001
#1043,2026-07-23 11:11:00 +0530,pending,fulfilled,"2,324.00",COD,buyer1043@example.invalid,9000032057,400001
#1044,2026-07-10 11:33:00 +0530,pending,fulfilled,"1,700.00",COD,buyer1044@example.invalid,9000091539,302001
#1045,2026-07-22 11:32:00 +0530,paid,fulfilled,"1,748.00",Standard,buyer1045@example.invalid,9000053783,110001
#1046,2026-07-09 11:28:00 +0530,pending,fulfilled,"1,182.00",COD,buyer1046@example.invalid,9000016899,110001
#1047,2026-07-10 11:52:00 +0530,pending,fulfilled,878.00,COD,buyer1047@example.invalid,9000047635,201301
#1048,2026-07-14 11:19:00 +0530,paid,fulfilled,"1,917.00",Standard,buyer1048@example.invalid,9000039510,700001
#1049,2026-07-18 11:21:00 +0530,paid,fulfilled,"1,697.00",Standard,buyer1049@example.invalid,9000019166,226001
#1050,2026-07-12 11:35:00 +0530,pending,fulfilled,"2,431.00",COD,buyer1050@example.invalid,9000021466,302001
#1051,2026-07-08 11:56:00 +0530,paid,fulfilled,404.00,Standard,buyer1051@example.invalid,9000082139,302001
#1052,2026-07-08 11:51:00 +0530,paid,fulfilled,"1,260.00",Standard,buyer1052@example.invalid,9000073460,400001
#1053,2026-07-11 11:17:00 +0530,paid,fulfilled,"1,541.00",Standard,buyer1053@example.invalid,9000026963,302001
#1054,2026-07-11 11:36:00 +0530,paid,fulfilled,"1,471.00",Standard,buyer1054@example.invalid,9000096864,700001
#1055,2026-07-03 11:42:00 +0530,pending,fulfilled,604.00,COD,buyer1055@example.invalid,9000030896,380001
#1056,2026-07-08 11:48:00 +0530,pending,fulfilled,"1,923.00",COD,buyer1056@example.invalid,9000047746,700001
#1057,2026-07-05 11:13:00 +0530,pending,fulfilled,"1,681.00",COD,buyer1057@example.invalid,9000057096,560001
#1058,2026-07-12 11:45:00 +0530,paid,fulfilled,701.00,Standard,buyer1058@example.invalid,9000012987,110001
#1059,2026-07-12 11:38:00 +0530,pending,fulfilled,"2,048.00",COD,buyer1059@example.invalid,9000048910,700001
#1060,2026-07-11 11:18:00 +0530,pending,fulfilled,"1,046.00",COD,buyer1060@example.invalid,9000051582,380001
#1061,2026-07-26 15:00:00 +0530,paid,fulfilled,"1,452.00",Standard,buyer1061@example.invalid,9000046800,700001
#1062,2026-07-26 15:01:00 +0530,paid,fulfilled,"1,326.00",Standard,buyer1062@example.invalid,9000045743,110001
